20:08:07.387 - Parse args
20:08:07.389 - Read data
20:08:07.964 - Train test split
20:08:07.965 - Train size: 353 , test size: 89
20:08:07.968 - Data Normalize
20:08:08.020 - Learnging....
20:08:08.629 - MSE: 0,51602
20:08:08.629 - MSE: 0,51084
20:08:08.630 - MSE: 0,50570
20:08:08.632 - MSE: 0,50062
20:08:08.633 - MSE: 0,49559
20:08:08.634 - MSE: 0,49061
20:08:08.637 - MSE: 0,48568
20:08:08.639 - MSE: 0,48080
20:08:08.641 - MSE: 0,47596
20:08:08.642 - MSE: 0,47118
20:08:08.643 - MSE: 0,46644
20:08:08.644 - MSE: 0,46176
20:08:08.645 - MSE: 0,45712
20:08:08.645 - MSE: 0,45252
20:08:08.650 - MSE: 0,44797
20:08:08.652 - MSE: 0,44347
20:08:08.654 - MSE: 0,43901
20:08:08.654 - MSE: 0,43460
20:08:08.655 - MSE: 0,43023
20:08:08.655 - MSE: 0,42591
20:08:08.656 - MSE: 0,42163
20:08:08.657 - MSE: 0,41739
20:08:08.657 - MSE: 0,41320
20:08:08.658 - MSE: 0,40904
20:08:08.659 - MSE: 0,40493
20:08:08.660 - MSE: 0,40086
20:08:08.660 - MSE: 0,39683
20:08:08.665 - MSE: 0,39285
20:08:08.668 - MSE: 0,38890
20:08:08.669 - MSE: 0,38499
20:08:08.669 - MSE: 0,38112
20:08:08.670 - MSE: 0,37729
20:08:08.671 - MSE: 0,37350
20:08:08.671 - MSE: 0,36974
20:08:08.672 - MSE: 0,36603
20:08:08.673 - MSE: 0,36235
20:08:08.674 - MSE: 0,35871
20:08:08.676 - MSE: 0,35510
20:08:08.676 - MSE: 0,35153
20:08:08.677 - MSE: 0,34800
20:08:08.678 - MSE: 0,34450
20:08:08.679 - MSE: 0,34104
20:08:08.679 - MSE: 0,33761
20:08:08.680 - MSE: 0,33422
20:08:08.681 - MSE: 0,33086
20:08:08.681 - MSE: 0,32753
20:08:08.682 - MSE: 0,32424
20:08:08.684 - MSE: 0,32098
20:08:08.686 - MSE: 0,31776
20:08:08.687 - MSE: 0,31456
20:08:08.688 - MSE: 0,31140
20:08:08.689 - MSE: 0,30827
20:08:08.689 - MSE: 0,30517
20:08:08.690 - MSE: 0,30211
20:08:08.691 - MSE: 0,29907
20:08:08.691 - MSE: 0,29606
20:08:08.692 - MSE: 0,29309
20:08:08.693 - MSE: 0,29014
20:08:08.694 - MSE: 0,28723
20:08:08.695 - MSE: 0,28434
20:08:08.695 - MSE: 0,28148
20:08:08.696 - MSE: 0,27865
20:08:08.697 - MSE: 0,27585
20:08:08.697 - MSE: 0,27308
20:08:08.699 - MSE: 0,27034
20:08:08.700 - MSE: 0,26762
20:08:08.701 - MSE: 0,26493
20:08:08.702 - MSE: 0,26227
20:08:08.703 - MSE: 0,25963
20:08:08.703 - MSE: 0,25702
20:08:08.707 - MSE: 0,25444
20:08:08.714 - MSE: 0,25188
20:08:08.715 - MSE: 0,24935
20:08:08.716 - MSE: 0,24684
20:08:08.717 - MSE: 0,24436
20:08:08.717 - MSE: 0,24191
20:08:08.718 - MSE: 0,23948
20:08:08.718 - MSE: 0,23707
20:08:08.719 - MSE: 0,23469
20:08:08.720 - MSE: 0,23233
20:08:08.720 - MSE: 0,22999
20:08:08.721 - MSE: 0,22768
20:08:08.722 - MSE: 0,22539
20:08:08.723 - MSE: 0,22313
20:08:08.723 - MSE: 0,22088
20:08:08.724 - MSE: 0,21866
20:08:08.725 - MSE: 0,21647
20:08:08.726 - MSE: 0,21429
20:08:08.727 - MSE on train dataset: 0.21429105242693003
20:08:08.729 - MSE on test dataset: 1.8159031341801903
20:08:08.778 - Result save --> data/prediction/predict.csv
